"","Latitude","Longtitude","n"
"210",40.8051809914529,-73.9659482525386,1
"211",40.8052264939465,-73.9622313231231,1
"212",40.8052958892306,-73.9566396638891,1
"213",40.8054089714925,-73.9450517685902,1
"214",40.8054421651521,-73.9674182702203,1
"215",40.8054965673157,-73.9657205244912,1
"216",40.8058098772026,-73.9671327275865,1
"217",40.8058411537847,-73.9617505534654,1
"218",40.8059224959816,-73.9674324838623,2
"219",40.8059613578857,-73.9528211415936,1
"220",40.8060175424802,-73.9560865276714,1
"221",40.806035575265,-73.9467706575413,1
"222",40.80604820426,-73.9504731509979,1
"223",40.8061716223391,-73.9652289169567,3
"224",40.8061798630461,-73.9652505858842,1
"225",40.8064844520068,-73.9650011835527,2
"226",40.8065612944008,-73.9649686331123,1
"227",40.8066391966906,-73.9463005848207,1
"228",40.8067626789428,-73.9462354649237,1
"229",40.8068806514607,-73.946127002315,2
"230",40.8071590280748,-73.9552549550573,1
"231",40.8074125455053,-73.9662649908359,2
"232",40.8074339137556,-73.9643071277921,1
"233",40.8074428321384,-73.9665900801383,1
"234",40.8074568450746,-73.9457038997569,1
"235",40.8075122814621,-73.9605358677868,2
"236",40.8076371711868,-73.9567248334769,1
"237",40.8077000981124,-73.9641335952281,1
"238",40.8077658574297,-73.949222019927,1
"239",40.8077811494629,-73.9529173835718,5
"240",40.8078070043973,-73.9491678041254,1
"241",40.8079606690324,-73.9490773792095,2
"242",40.8080274864363,-73.9666873189165,2
"243",40.8082627949373,-73.9562656622441,1
"244",40.8082909654783,-73.9451216357268,2
"245",40.8083601890748,-73.9599212699919,1
"246",40.8083941847638,-73.9487374888989,2
"247",40.8084226110644,-73.9662897651744,1
"248",40.8085392382725,-73.9542714724323,1
"249",40.8085577600642,-73.959780269975,1
"250",40.8086550347297,-73.9634106126863,1
"251",40.8087354432229,-73.9447708718271,1
"252",40.8090194252295,-73.9539207436264,1
"253",40.8090654033753,-73.9594078899174,2
"254",40.8090935110693,-73.9538665068789,1
"255",40.8091096336373,-73.9530103652867,1
"256",40.8092036129869,-73.9481444368232,1
"257",40.8092979255079,-73.9443838809491,1
"258",40.809327754743,-73.9642483141571,1
"259",40.809432357584,-73.9442609476155,2
"260",40.8094790649305,-73.9572185325773,1
"261",40.8095064894257,-73.9653210967756,1
"262",40.8095421080225,-73.9441813831605,1
"263",40.8096049099375,-73.9640494837592,1
"264",40.809632030418,-73.955271354469,1
"265",40.8098028540537,-73.9651041982356,1
"266",40.8098810092705,-73.9532771387702,1
"267",40.809966792381,-73.9550290979514,1
"268",40.8102720982886,-73.9647643840236,2
"269",40.8103328375805,-73.9576623127893,2
"270",40.8103355823026,-73.9576623110433,1
"271",40.8103783229367,-73.9621778255502,1
"272",40.8105140660937,-73.9509322202255,1
"273",40.8106267454136,-73.9582726293505,5
"274",40.8106294901356,-73.9582726276297,6
"275",40.8106343207112,-73.9645004836152,1
"276",40.8106383153826,-73.9526950030701,1
"277",40.8109930271523,-73.9542878488369,16
"278",40.8110052185279,-73.9505742238362,1
"279",40.8112419635092,-73.9522321765311,2
"280",40.8112948328435,-73.9614909329321,1
"281",40.8113380003057,-73.9521634703774,2
"282",40.8113913018118,-73.9627191231359,1
"283",40.8115857019497,-73.961277627201,1
"284",40.8116255643556,-73.9575603404154,1
"285",40.8116268721275,-73.9538214008312,1
"286",40.8116949904939,-73.9463290181342,1
"287",40.8117338873016,-73.9537490764384,1
"288",40.811776474757,-73.9574265813414,1
"289",40.811920475206,-73.9610317812671,1
"290",40.8120897503978,-73.9514368122421,2
"291",40.8120975282548,-73.9572132368942,1
"292",40.8121606313512,-73.9571445582535,1
"293",40.8121716075504,-73.9571373261243,1
"294",40.8123280230486,-73.9570469119078,1
"295",40.8125465626371,-73.96190203948,1
"296",40.812610647015,-73.9568263636765,19
"297",40.8126915440537,-73.9531270507696,2
"298",40.8128095494704,-73.9603990617732,1
"299",40.8128291922782,-73.9616706734455,1
"300",40.8128785852409,-73.961634519309,2
"301",40.8129893112855,-73.9565407245993,1
"302",40.8130943297185,-73.9453308172798,1
"303",40.8130981183612,-73.9615007272616,1
"304",40.8131355756368,-73.9516419663593,1
"305",40.8132078721656,-73.9613958987516,1
"306",40.8132101778465,-73.9601062038375,1
"307",40.8132106156768,-73.9613922845732,2
"308",40.8135394615902,-73.9598675745297,1
"309",40.8135888552404,-73.959835031276,3
"310",40.8136355041603,-73.9598024896318,2
"311",40.8136821518101,-73.9597663353301,1
"312",40.8136829663043,-73.962172334902,1
"313",40.813687871805,-73.9531118986076,1
"314",40.8137781892691,-73.959686799678,83
"315",40.8137978411527,-73.960962042266,2
"316",40.8138005858733,-73.960962040656,4
"317",40.8138856514001,-73.9609005761559,1
"318",40.8138964588034,-73.953082850657,1
"319",40.814187499405,-73.9606908656949,11
"320",40.8141880755882,-73.9482489322992,1
"321",40.8141902428937,-73.9606872514342,16
"322",40.8142035157115,-73.95938669284,1
"323",40.8142391792494,-73.9593360940755,3
"324",40.8144673444462,-73.9530427089908,6
"325",40.8144806610228,-73.9591842149743,1
"326",40.8145249894538,-73.9530571189524,2
"327",40.8145558865743,-73.9624753021868,2
"328",40.8146233493386,-73.9590793602148,1
"329",40.8146244916401,-73.9624355242028,1
"330",40.8150275393054,-73.9611491806033,1
"331",40.8151200097123,-73.9587033349937,20
"332",40.815264286252,-73.948876705019,1
"333",40.8153944155624,-73.9585189167296,1
"334",40.8154487984808,-73.9571207645952,1
"335",40.8154581338274,-73.9529083396659,1
"336",40.8155265873903,-73.9597182550041,13
"337",40.8155520363419,-73.9619147698167,1
"338",40.8155873275752,-73.9607514550435,2
"339",40.8158369871699,-73.9604297748676,1
"340",40.8158444321625,-73.9581934905261,1
"341",40.8158809472464,-73.9605598070826,36
"342",40.8161228385982,-73.9616145853137,26
"343",40.8164027880389,-73.9540745928603,1
"344",40.8167425485655,-73.9526292468148,1
"345",40.8169953723491,-73.9607614630071,1
"346",40.8170901930079,-73.9572606061222,2
"347",40.8171445135655,-73.9557395821397,1
"348",40.8173439497729,-73.9533838963539,2
"349",40.8173695374736,-73.9556274352802,2
"350",40.8174030050329,-73.9570291850848,1
"351",40.8175113549147,-73.9606889023637,8
"352",40.818022252607,-73.9618194220762,25
"353",40.8181955960094,-73.9553631458693,1
"354",40.8183908349458,-73.9563131992976,1
"355",40.8185774236993,-73.9561757874245,1
"356",40.8192263646658,-73.9594197565729,1
